SKU;COGS
2ff8cb2c-8bd7-44d5-a5d7-d1d57af277f0;714,42
484088d8-75ea-462c-ada9-777fb54026aa;714,3789333
c5bd3660-a020-44a9-aef5-f2b0b1ee3df1;714
c3e8a679-e379-47b3-8f52-1166cf725128;713,58
bac637d3-6b6c-4d56-89b3-7ab188016891;713,58
f54cc9c7-e36d-4b48-b555-e1f714c91d31;713,58
c7830da2-a6f1-4f26-9393-2312620260d3;713,58
4cdd681c-922d-42ec-80ad-659e158c6e7a;709,128
3ea34bf5-4ee2-426a-8c08-c0dc5dab9344;709,044
ee4427f5-f6b0-4fbf-930b-0a07e2cb4e03;707,476
e2dc4e29-0ffb-40f5-8685-db6f55782055;707,3511667
61d15264-790c-46d2-afe3-065ae6e3464e;703,08
d49ac337-d268-4066-bf4c-39732758cc67;703,08
55cdce9f-7bb4-459f-a1be-655f739923d6;703,08
919a0093-2576-4e16-9f83-ee4259fc8fc0;700
c8a87b42-7516-4c46-a029-8a763ef6406e;700
8806e8dc-b8ee-4261-96ec-f5b9d5337301;700
027603d3-c90d-4f1d-bcdb-067666a75a00;700
5b77199f-ae75-40da-ad2c-c68ca985770f;700
9c98e7a9-af05-4975-b8c0-b9a33d33e787;700
9b92bd22-4d04-45c6-a609-9cb42f575c4a;700
ec520be1-953e-4c74-9ae0-547f0768fa45;700
0050ff4f-f6c6-43ed-8c8a-43d132b07e76;700
28492e5a-c9cf-4b82-9f0e-c3c8c1514bb5;700
202f4274-2292-4509-9ed2-489cb08cff4e;700
f2119e7e-fdf7-4f45-b7c8-1a198285db1f;700
790915cd-eb5d-493d-a652-61532b92cc12;700
76fa0438-2dd3-4227-b6ef-8fa7d701b751;700
b8aa7c03-9089-4afe-99c4-0292b7d60e6c;700
9eda843f-815b-4520-91fb-dd7a340f22aa;700
fd946678-8217-4966-bf45-f7f773445b61;700
34a4ad06-803d-47a1-a2db-cfc13401ad2e;700
0124d218-ca3c-48bb-8a91-ba10efc970cf;700
385a3f53-2bd3-43b5-854a-388935800772;700
3a88336d-1ea2-4e68-9a31-40cc9b5804fb;700
a8a73709-697d-438b-87e4-fff92d30356f;700
fcf09422-5b79-4e7d-b626-d8f20f229a4f;700
2adc3478-c405-4b38-8783-347af095d79a;700
e6962d58-47c8-4f25-bc33-2cb9a80186a0;700
f4a65059-40cf-479d-bf7a-a4e4df937304;700
042aecf7-ca91-45fb-ad6e-9b5d9a7f79fa;700
79e35ba9-099f-419b-b918-fb74ab890e05;700
7ce32c90-fd08-402b-b0c3-d5b9f5c9a0dd;700
d906fc6d-7c39-4dad-ab85-22fc790170f3;700
77dfe555-85b2-491e-9d00-0becd56c9bac;700
ae21865b-4515-420a-9069-acb6aeafe1d3;700
40e17170-080b-4f1a-96ab-f7d468df9471;700
f37bfc57-d124-4655-b3f6-7f03158374a9;700
19b16b72-eddc-4a2f-8896-e73394268420;700
d83215cf-d9b9-40e0-922e-de874b4f4fd5;700
c0b17991-8f52-4a94-961f-abe5b0fa2ee9;700
3940804d-6a64-452d-bd92-4df73529ed21;700
7e16ad99-3864-4694-a4e7-936471a1e6c5;700
4b13dec6-2b38-4dc5-aabb-248362163586;700
039a33d0-bb12-48ce-bf2a-7fb032fd257a;700
ada77eca-423f-46b8-a66c-dcddcbcedcc7;700
438d444a-c1dd-4868-a5c7-c6644664e13f;700
619867e0-65ad-4e7b-8fc2-2b8152ca0197;700
baab8c97-9e13-4d5e-ba48-a2bc851d7336;700
e6fe7af3-c42a-4958-b0d5-c70d5428060e;700
dd751616-bc7d-4912-97b6-c2d734558a01;700
c145cc77-ecad-4172-b9b0-72551f9e93d7;700
1ecd75f4-0543-4178-a19c-72db4b830de3;700
32766879-c3c6-460b-8a60-2a35dc5abc59;700
abac20f5-d6a4-4bff-b0c3-d6295d5d99e5;700
dd6166a8-7ff5-4cf4-81da-67db746065c8;700
6c564116-fe00-495e-80a1-d090b87a6bf0;700
ca181bb6-ab7a-4138-9104-8e4236a6824b;700
da1ecd63-2488-4f8f-8cd4-4b6af2745794;700
86843a38-b939-424d-bdc9-31f4e135a3c0;700
bc620654-8bd7-4a7e-840b-6f17d7bc7162;700
8294c7a6-5b7b-43b1-a593-9544fa2979fd;700
233233b7-b350-4994-8120-bb911ecedea7;700
bf755c83-cafd-42c2-8dc8-af6c549c4e93;700
fbc59a52-7706-477a-8d15-b80035ae37fc;700
f3d581f3-44a9-4240-8df0-67188387ef8c;700
5a4ad803-5b33-47bd-a31b-079a7ab337e5;700
1568e2f3-0f35-4488-9922-c018e00498e8;700
1571a2d7-2ac8-4f89-8466-0dead2467369;700
9ec1209d-aeec-4ea9-83c0-b817f51f59c1;700
5e4d6b94-70a0-40d8-a175-072b048e65ed;700
cce18f67-78aa-4b5e-b09d-d72f08e31ad3;696,192
346a56f3-56fd-462a-b6a1-f9b13727cf28;694,89
2385e73b-02e6-459e-8e6a-d3af997085ad;693
ee6e81cf-a82b-4703-8306-43fa185a1a1b;686
b8184d57-432c-4fab-8f1f-62b8d456c72f;678,72
d7e29861-5606-44a6-92aa-f209ef91de55;676,1809201
677f1c87-a14b-4fbd-8a11-afc9f64c6344;673,4
c69a10ae-922f-46c4-886e-f7140f7facac;673,4
c001fbcd-c0b5-4ed3-833c-aef364638d40;669,795
d05f4b0f-377a-43b5-856d-069bd5554cdf;663,6
22fddbbb-6f6f-4d0a-a1a7-13161358745f;663,012
3d26f9ed-a0e8-49e9-b66d-c03c7b6ee324;663,012
56a21e3b-cf01-4748-9cd1-6ccbf07ce191;662,2
599776ec-87ec-47d0-aa5f-d7b0cb1985b7;661,416
774c622f-4e3e-4bf1-9e2a-7630f3ae09fe;661,416
10fb07a4-b534-42bc-9043-04d385dca552;661,416
d8303a01-21bc-47df-b879-5d7fbf2a0eb2;661,416
02c42888-efeb-4ab9-8485-6b73aaa9f3f3;659,68
1ae1b026-0c36-4a7d-8117-e3b4248c6ae9;659,4
4ea77926-140b-40f0-a1ca-b81e76bfb598;655,6718829
440f41df-4a10-4294-98c7-38dc7da5175d;650,027
c2401307-9151-48fc-acf1-f0130669a6bc;649,74
5d24ef30-2858-46c6-8c22-14169ffb9a3d;649,18
c46e3cfb-c827-4a39-b967-a3012dad1f23;643,1145
8c5847d5-967a-4cc5-90ca-cc93cd0243e4;639,8
9fd94e67-7f7f-44f7-ab7b-dbef948e3e50;638,9553333
78f31c07-507f-47ee-ac52-16e4c50f3843;638,54
74dabcfb-4421-4ee6-b535-0e2fdc326a65;637
7f57016b-780e-44a1-8cc9-e45fb80e5f74;632,051
b1f2d469-32e8-4483-95e4-95b2ea1f1ffa;632,051
ae075a6c-5220-4c65-b30f-237df41338e0;631,4181611
d993265b-7c2c-4a8e-a19f-48cfaa93ca9c;630
81d7a30d-23d9-4c27-a065-e1c077677f1a;629,02
88c7277b-eac6-4c6f-bc38-7c5be8eb367a;629,02
60771562-0e69-4c33-b408-38d5fcb2697a;627,5180814
38f2d983-4814-402d-abcf-5cc08ac9d5fa;625,562
89c34884-0d41-43d4-b04f-c5817cf535fe;623,3675
e79dff06-9f21-4557-8319-caecb7cf7b20;620,4414112
33b40844-1e88-4368-8143-d20a87fe9d94;619,535
07e35509-abde-4434-bb1a-182123180194;616,1913401
fc083392-84b3-4557-873e-e45eee03f735;615,2125444
5a1b2051-46fb-4240-aa03-06b7b058a552;615,1787881
7b9b88f6-2bcf-41ab-ac6e-9aea4f3640d8;610,9748148
f7b9c747-f3dd-4761-ac21-88685835ed0d;610,4
bfd1bc55-44a5-40a7-b95d-07b9cb30fdd3;608,44
67bf5fac-43db-4424-b171-2acb810051d0;608,062
02e9dee2-15e2-437c-8835-65ac88852b0a;605,8826667
bc6aa94c-e7b8-49d8-8b6c-c35ac8442ded;605,5
7235b6d6-841b-4b23-b0f7-0e4e37a50cd6;603,2390593
cea994e6-77ec-437c-b4e8-35e24268c404;602,336
0ec368ca-46a1-4aba-bcd3-db5904add9b9;598,9795
f326df6c-d7d4-4ce2-a068-341a5a1bb312;596,806
47d094c4-588c-4bb3-aacb-149d65439a1a;595,322
e2c57723-d581-40a1-b658-49c72a265be3;595,322
73093860-bbe7-4217-bb13-211620f9e9b5;595,322
0b9d9ba2-6023-440e-ac31-dc29b1de1d66;595,322
889879fe-ae82-4e94-bf12-05d520316708;592,9933333
743c7187-6b0a-4c2f-88e9-b5258fe1dd14;592,9
5d6e48a4-8790-40b7-ba9a-84d62ccc3ff5;592,2
ee878023-d309-4240-bad1-25139db94e16;592,011
02146257-a95b-4bcc-b9c0-64cb7a505179;591,241
b77738e2-266e-4969-9f65-b50144326846;590,45
395ca385-31a5-4420-963a-438501f2a7a5;589,526
13fb09d1-8f2b-4467-a835-791b9d0f5ef1;588
0708818f-d00c-4e20-8cad-ee7e9420dc93;587,58
4c088d87-ac82-4ca0-bfbd-6c72a5e87d88;587,58
7b032c75-ef19-4081-8fe2-b4867f77bf73;587,58
0be8a791-f014-4ff1-bb4a-556ef0d9f136;586,936
3abc80cd-55f9-4914-9830-914e59fb8db0;586,936
a2db92f5-55e9-4183-8970-4b6d8127a2de;586,936
664d319f-2a19-4509-9cbc-96bfc2f02a3d;586,936
b64e59e7-4458-4112-8792-c9b614d18954;586,936
abaecd8a-ac0b-4b8a-9308-e04e2b319100;586,054
db314dd5-02ef-49c4-9341-0c778cd8cc64;585,998
c7e2413e-4544-45f2-871a-26b8b55b620a;585,9
358b15c3-26d7-4ede-824a-c7d20859c227;585,9
616063c7-88af-4d40-91cd-995c013faec9;584,486
e17aaad5-4927-44c5-836a-b9f952558881;584,486
90eb5abe-dcfe-4251-838c-87d8279ce574;584,486
313f1255-0edd-41f3-8642-e20bbd7753b0;581,9333333
d99dee0c-16d4-4452-bba8-e0be157fef20;580,181
3418d00a-6cff-44b8-b94a-120bb3ab2a21;579,39
d3ce0a74-8dc3-4df0-bd06-6fd910e42f36;577,1126667
e8715119-2dfd-43e0-8484-eee8275314e2;574
d49c3fd4-0d9b-4a16-86c8-98170bb8facf;573,7293333
6e843566-b0ce-4b7c-9a9d-463d785e8cd0;573,5624321
e07e3512-27e1-4627-80e1-66c925ef5a45;570,3513833
70570e35-3bc2-44d2-872f-5d34179660e3;565,6
1d1fb693-6342-4638-8658-0ec22873046f;564,76
1cf1a023-2dee-42a9-aa55-7e75068b92c2;564,76
6fd3bdfd-3ebd-4ab4-95c4-2e3da29bc1f7;564,76
b0dea3a7-b26f-4e54-887d-9b4d926c6e78;564,76
a4bd51c6-d53d-439c-8540-74b78897eb95;563,2003754
